CGPA,Backlogs,Branch,10th_Percentage,12th_Percentage,skills,DSA_Score,Projects_Count,Certifications,Internships,Hackathons_Participated,Coding_Contest_Rating,Clubs,Leadership_Roles,Placed
6.87,3,IT,89.73,88.31,"[{""skill"": ""leadership"", ""level"": ""Advanced""}, {""skill"": ""cloud"", ""level"": ""Expert""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}]",23.21,2,5,3,4,800,3,2,1
9.75,2,AIML,81.18,74.76,"[{""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""react"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Intermediate""}]",71.27,5,1,0,3,1181,3,0,1
8.66,3,ECE,78.0,84.86,"[{""skill"": ""data science"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Expert""}]",94.05,1,1,1,1,1588,0,1,0
7.99,5,AIDS,62.93,65.4,"[{""skill"": ""communication"", ""level"": ""Beginner""}, {""skill"": ""c++"", ""level"": ""Beginner""}, {""skill"": ""excel"", ""level"": ""Beginner""}, {""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""sql"", ""level"": ""Advanced""}]",100.0,2,3,2,0,1547,0,2,0
5.78,1,AIDS,83.25,79.23,"[{""skill"": ""docker"", ""level"": ""Intermediate""}, {""skill"": ""python"", ""level"": ""Expert""}, {""skill"": ""css"", ""level"": ""Intermediate""}]",32.31,2,3,2,4,800,1,2,1
5.78,5,ECE,78.74,84.58,"[{""skill"": ""leadership"", ""level"": ""Advanced""}, {""skill"": ""c++"", ""level"": ""Advanced""}, {""skill"": ""dsa"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""css"", ""level"": ""Beginner""}]",64.86,2,0,1,5,1620,0,1,0
5.29,1,CIVIL,85.54,90.38,"[{""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""cybersecurity"", ""level"": ""Advanced""}, {""skill"": ""css"", ""level"": ""Intermediate""}]",42.53,5,0,1,2,1539,3,2,1
9.33,0,CSE,88.58,90.02,"[{""skill"": ""dsa"", ""level"": ""Advanced""}, {""skill"": ""leadership"", ""level"": ""Advanced""}, {""skill"": ""git"", ""level"": ""Advanced""}, {""skill"": ""ai"", ""level"": ""Intermediate""}]",100.0,1,5,2,0,1707,1,1,1
8.01,4,CSE,92.33,92.13,"[{""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""java"", ""level"": ""Beginner""}, {""skill"": ""communication"", ""level"": ""Beginner""}, {""skill"": ""cloud"", ""level"": ""Beginner""}]",40.45,5,2,0,4,842,2,0,0
8.54,5,CSE,83.37,81.88,"[{""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""machine learning"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}]",82.7,4,0,2,5,1246,0,1,1
