CGPA,Backlogs,Branch,10th_Percentage,12th_Percentage,DSA_Score,Projects_Count,Certifications,Internships,Hackathons_Participated,Coding_Contest_Rating,Clubs,Leadership_Roles,Placed,Skill_Score,Activity_Score,Academic_Strength
6.87,3,IT,89.73,88.31,23.21,2,5,3,4,800,3,2,1,40.36299999999999,54.0,5.970000000000001
9.75,2,AIML,81.18,74.76,71.27,5,1,0,3,1181,3,0,1,41.32544444444445,50.7,9.15
8.66,3,ECE,78.0,84.86,94.05,1,1,1,1,1588,0,1,0,43.35944444444444,37.266666666666666,7.76
7.99,5,AIDS,62.93,65.4,100.0,2,3,2,0,1547,0,2,0,55.75555555555556,34.900000000000006,6.49
5.78,1,AIDS,83.25,79.23,32.31,2,3,2,4,800,1,2,1,35.75966666666667,40.666666666666664,5.48
5.78,5,ECE,78.74,84.58,64.86,2,0,1,5,1620,0,1,0,38.29133333333333,62.33333333333334,4.28
5.29,1,CIVIL,85.54,90.38,42.53,5,0,1,2,1539,3,2,1,35.82566666666666,66.63333333333334,4.99
9.33,0,CSE,88.58,90.02,100.0,1,5,2,0,1707,1,1,1,59.66666666666667,41.9,9.33
8.01,4,CSE,92.33,92.13,40.45,5,2,0,4,842,2,0,0,32.835,38.733333333333334,6.81
8.54,5,CSE,83.37,81.88,82.7,4,0,2,5,1246,0,1,1,47.85444444444445,49.86666666666667,7.039999999999999
5.1,3,MECH,69.54,66.84,24.87,4,5,2,5,1402,3,0,0,46.41655555555555,70.06666666666668,4.199999999999999
9.85,0,ECE,60.0,60.0,70.38,5,3,2,4,1385,1,2,1,54.214,60.16666666666667,9.85
9.16,4,MECH,71.75,79.39,72.62,1,3,0,4,1072,0,2,1,44.052666666666674,43.06666666666666,7.96
6.06,3,MECH,93.33,90.73,79.2,4,0,1,4,1232,3,1,0,46.42666666666666,63.40000000000001,5.16
5.91,2,ECE,98.23,98.38,35.5,5,2,1,2,800,1,0,1,36.31666666666666,18.666666666666664,5.3100000000000005
5.92,3,CIVIL,77.62,73.07,70.35,6,5,1,3,1597,0,1,0,55.66055555555555,49.56666666666666,5.02
6.52,1,CYBER,65.39,64.09,60.48,5,3,0,4,1172,2,2,1,41.15511111111111,59.73333333333333,6.22
7.62,1,CSE,73.52,87.77,71.07,6,5,0,3,1778,0,2,1,54.87655555555555,60.6,7.32
7.16,2,IT,91.38,87.75,82.47,2,2,1,5,912,3,0,1,49.20766666666666,53.733333333333334,6.5600000000000005
6.46,0,CYBER,74.09,81.33,34.13,3,3,3,2,800,3,0,1,44.16122222222222,32.0,6.46
